popularity,vote_count,id,genre_ids,title,vote_average,release_date
147.117,8230,324857,"[28, 12, 16, 878, 35]",Spider-Man: Into the Spider-Verse,8.4,2018-12-06
146.94,1271,11679,"[28, 12, 80, 18, 9648, 53]",xXx: State of the Union,5.0,2005-04-27
145.643,3037,338967,"[27, 28, 35]",Zombieland: Double Tap,7.0,2019-10-09
145.111,2616,509967,"[28, 53]",6 Underground,6.3,2019-12-13
144.695,56,565840,"[28, 878]",The Immortal Wars: Resurgence,6.0,2019-12-13
143.266,6112,158015,"[878, 27, 53]",The Purge,6.2,2013-05-31
142.456,1217,481084,"[16, 35, 10751, 14]",The Addams Family,6.6,2019-10-10
142.093,888,454640,"[16, 35, 12, 10751]",The Angry Birds Movie 2,7.2,2019-08-02
139.905,4372,447404,"[28, 12, 14]",Pokémon Detective Pikachu,7.0,2019-05-03
138.383,2717,400155,"[10751, 14, 35, 16]",Hotel Transylvania 3: Summer Vacation,6.9,2018-06-28
135.195,7098,420817,"[12, 14, 10749, 10751]",Aladdin,7.2,2019-05-22
135.101,5027,404368,"[10751, 16, 35, 12]",Ralph Breaks the Internet,7.3,2018-11-20
134.202,4735,238636,"[27, 53]",The Purge: Anarchy,6.6,2014-07-17
131.991,37,468816,"[28, 18, 36]",The Rising Hawk,6.1,2019-10-10
131.086,1843,412117,"[12, 16, 35, 10751]",The Secret Life of Pets 2,7.0,2019-05-24
130.842,3680,359724,"[18, 36]",Ford v Ferrari,8.0,2019-11-13
121.082,285,611914,"[28, 80, 18, 53]",The Courier,6.5,2019-11-22
118.632,3053,373571,"[878, 28]",Godzilla: King of the Monsters,6.5,2019-05-29
117.599,2248,522938,"[28, 53, 18]",Rambo: Last Blood,6.4,2019-09-19
116.998,1712,431693,"[28, 12, 16, 35]",Spies in Disguise,7.8,2019-12-04
116.571,4571,345940,"[28, 878, 27]",The Meg,6.1,2018-08-09
115.552,10337,333339,"[12, 878]",Ready Player One,7.6,2018-03-28
115.382,9753,335983,"[878, 28]",Venom,6.7,2018-09-28
113.657,180,193726,[27],ABCs of Death 2,5.3,2014-10-02
112.878,1071,499701,"[12, 35, 10751]",Dora and the Lost City of Gold,6.8,2019-08-08
112.642,8264,351286,"[28, 12, 878]",Jurassic World: Fallen Kingdom,6.6,2018-06-06
112.564,119,575094,"[12, 14, 9648]",Abigail,5.9,2019-08-22
112.02,10277,299537,"[28, 12, 878]",Captain Marvel,7.0,2019-03-06
111.813,4024,320288,"[878, 28, 12]",Dark Phoenix,6.1,2019-06-05
110.753,941,461130,"[878, 28, 80, 53, 18]",Code 8,6.2,2019-12-06
110.354,15080,315635,"[28, 12, 18, 878]",Spider-Man: Homecoming,7.4,2017-07-05
109.772,16240,284054,"[28, 12, 14, 878]",Black Panther,7.4,2018-02-13
107.489,18577,671,"[12, 14]",Harry Potter and the Philosopher's Stone,7.9,2001-11-16
104.05,4044,166428,"[16, 10751, 12]",How to Train Your Dragon: The Hidden World,7.8,2019-01-03
103.413,12306,383498,"[28, 35, 12]",Deadpool 2,7.5,2018-05-10
102.104,463,486589,"[16, 10749, 10751]",Red Shoes and the Seven Dwarfs,7.4,2019-07-25
101.672,9734,141052,"[28, 12, 14, 878]",Justice League,6.2,2017-11-15
101.573,1236,431580,"[16, 12, 35, 10751]",Abominable,7.6,2019-09-19
99.511,14813,284053,"[28, 12, 35, 14]",Thor: Ragnarok,7.6,2017-10-25
98.809,5698,287947,"[28, 35, 14]",Shazam!,7.0,2019-03-29
98.707,14365,346364,[27],It,7.2,2017-09-06
98.309,1658,458897,"[28, 12, 35]",Charlie's Angels,6.7,2019-11-14
95.827,5855,399579,"[28, 878, 12]",Alita: Battle Angel,7.1,2019-01-31
95.637,23807,293660,"[28, 12, 35]",Deadpool,7.6,2016-02-09
95.516,395,578189,"[28, 53]",Black and Blue,6.7,2019-10-25
95.442,9497,297802,"[28, 12, 14]",Aquaman,6.9,2018-12-07
93.945,323,296065,"[27, 53]",Last Shift,6.0,2014-10-25
93.647,392,552095,"[28, 12, 16, 10751]",PAW Patrol: Mighty Pups,7.5,2019-05-17
93.597,12673,198663,"[28, 9648, 878, 53]",The Maze Runner,7.1,2014-09-10
